subject,gpt2M_acc,gpt2M_se,gpt2M_ci_low,gpt2M_ci_high,c16_acc,c16_se,c16_ci_low,c16_ci_high,delta,delta_se,delta_ci_low,delta_ci_high
mmlu_econometrics,0.23684210526315788,0.039994238792813386,0.15845339722924365,0.31523081329707214,0.22807017543859648,0.039471528,0.15070598089827594,0.30543436997891704,-0.00877193,0.056191998056574474,-0.118908246,0.10136438636632457
mmlu_electrical_engineering,0.2482758620689655,0.036001057,0.1777137904915012,0.3188379336464298,0.22758620689655173,0.034939504,0.15910477944598053,0.2960676343471229,-0.020689655,0.050168167,-0.119019263,0.077639953
mmlu_elementary_mathematics,0.21693121693121692,0.021227082449445045,0.17532613533030464,0.2585362985321292,0.2222222222222222,0.021411684393694196,0.1802553208105816,0.2641891236338628,0.005291005,0.030150444,-0.053803864,0.064385875
mmlu_formal_logic,0.29365079365079366,0.040735243221471276,0.21380971693670997,0.37349187036487735,0.31746031746031744,0.041634530313028585,0.23585663804678142,0.39906399687385347,0.023809524,0.058247697,-0.090355961,0.13797500906969934
mmlu_global_facts,0.19,0.039427724,0.1127216600968822,0.2672783399031178,0.18,0.038612292,0.10431990774558758,0.2556800922544124,-0.01,0.055185637130095236,-0.118163849,0.098163849
mmlu_high_school_biology,0.1774193548387097,0.021732540689329262,0.13482357508762433,0.22001513458979505,0.18387096774193548,0.022037217340267846,0.1406780217550105,0.22706391372886045,0.006451613,0.030950642528315208,-0.054211646,0.067114872
mmlu_high_school_chemistry,0.21182266009852216,0.028748983689941072,0.15547465206623767,0.26817066813080664,0.23645320197044334,0.029896114,0.17785681795864558,0.29504958598224107,0.024630542,0.041476278918785525,-0.056662965,0.1059240485527408
mmlu_high_school_computer_science,0.27,0.044619604,0.1825455755056591,0.35745442449434095,0.23,0.042295258468165065,0.14710129340239647,0.31289870659760355,-0.04,0.061480061644389905,-0.160500921,0.080500921
mmlu_high_school_european_history,0.21818181818181817,0.032250781,0.1549702872590149,0.28139334910462144,0.26666666666666666,0.034531318,0.19898528334971252,0.3343480499836208,0.048484848,0.047249601,-0.04412437,0.1410940666507578
mmlu_high_school_geography,0.18181818181818182,0.027479603010538808,0.12795815991752577,0.23567820371883788,0.21717171717171718,0.029376616484945627,0.15959354886122376,0.27474988548221063,0.035353535,0.04022579,-0.043489013,0.1141960836706126
mmlu_high_school_government_and_politics,0.19689119170984457,0.028697874,0.1406433587249976,0.2531390246946915,0.21243523316062177,0.029519283,0.15457743923165995,0.2702930270895836,0.015544041450777202,0.041169843535242265,-0.065148852,0.096236935
mmlu_high_school_macroeconomics,0.20512820512820512,0.020473233173551975,0.16500066810804326,0.24525574214836698,0.2076923076923077,0.02056754,0.16737993014050398,0.24800468524411143,0.002564103,0.029020285,-0.054315657,0.059443862
mmlu_high_school_mathematics,0.21481481481481482,0.025040443877000683,0.16573554481589348,0.26389408481373616,0.22592592592592592,0.025497532639609542,0.1759507619522912,0.27590108989956064,0.011111111,0.035737208,-0.058933816,0.081156038
mmlu_high_school_microeconomics,0.21008403361344538,0.026461398717471874,0.1582196921272005,0.26194837509969027,0.18907563025210083,0.025435119438105364,0.13922279615341432,0.23892846435078735,-0.021008403,0.036703555,-0.09294737,0.050930564
mmlu_high_school_physics,0.1986754966887417,0.032578474,0.13482168795378094,0.26252930542370245,0.1986754966887417,0.032578474,0.1348216879537809,0.2625293054237025,0,0.04607292,-0.090302922,0.090302922
mmlu_high_school_psychology,0.1944954128440367,0.016970289090458033,0.16123364622673897,0.22775717946133445,0.21467889908256882,0.017604304149256487,0.1801744629500261,0.24918333521511155,0.020183486,0.02445204,-0.027742511,0.068109484
mmlu_high_school_statistics,0.1574074074074074,0.024837173518242387,0.10872654731165234,0.2060882675031625,0.18981481481481483,0.026744714834691947,0.1373951737388186,0.24223445589081105,0.032407407,0.036498835,-0.039130309,0.10394512410425724
mmlu_high_school_us_history,0.24509803921568626,0.030190282453501967,0.18592508560682242,0.3042709928245501,0.24509803921568626,0.030190282453501967,0.18592508560682242,0.3042709928245501,0,0.042695507,-0.083683194,0.083683194
mmlu_high_school_world_history,0.26582278481012656,0.028756799629658335,0.2094594575359962,0.3221861120842569,0.25316455696202533,0.028304657943035293,0.19768742739367617,0.3086416865303745,-0.012658228,0.040349810237627494,-0.091743856,0.0664274
mmlu_human_aging,0.3183856502242152,0.031265805,0.25710467198294645,0.379666628,0.3094170403587444,0.031024411740572206,0.24860919334722287,0.37022488737026593,-0.00896861,0.044046166,-0.095299094,0.077361875
mmlu_human_sexuality,0.25190839694656486,0.038073871163060866,0.17728360946696559,0.32653318442616414,0.2595419847328244,0.038448761,0.18418241239303312,0.3349015570726157,0.007633588,0.054110321735971655,-0.098422643,0.11368981838876399
mmlu_humanities,0.24272051009564294,0.006249213,0.23047205264336357,0.2549689675479223,0.2556854410201913,0.006360377,0.2432191026720182,0.26815177936836443,0.012964930924548368,0.008916673,-0.004511748,0.030441609721488856
mmlu_international_law,0.2396694214876033,0.03896879,0.16329059338022314,0.31604824959498345,0.23140495867768596,0.038498561,0.1559477791413218,0.3068621382140501,-0.008264463,0.054778698,-0.115630711,0.099101786
mmlu_jurisprudence,0.25,0.041860918,0.1679526008886657,0.3320473991113343,0.26851851851851855,0.04284468,0.1845429463446956,0.3524940906923415,0.018518518518518545,0.059899942,-0.098885367,0.13592240441185485
mmlu_logical_fallacies,0.22085889570552147,0.032591773927421776,0.1569790188077748,0.2847387726032682,0.25766871165644173,0.034361508,0.19032015543064215,0.3250172678822413,0.036809815950920255,0.047359656,-0.056015109,0.12963474093430472
mmlu_machine_learning,0.19642857142857142,0.0377097,0.12251755846136987,0.270339584,0.17857142857142858,0.036352091215778065,0.10732132978850357,0.2498215273543536,-0.017857143,0.052378393,-0.120518793,0.084804507
mmlu_management,0.17475728155339806,0.03760178,0.1010577926352763,0.24845677047151982,0.20388349514563106,0.039891399,0.12569635389880834,0.2820706363924538,0.029126213592232997,0.054819865,-0.078320721,0.13657314804428222
mmlu_marketing,0.2948717948717949,0.029872577708891172,0.23632154256236818,0.35342204718122155,0.2905982905982906,0.029745048572674057,0.23229799539584947,0.34889858580073174,-0.004273504,0.042156124271148086,-0.086899508,0.078352499
mmlu_medical_genetics,0.3,0.046056618647183814,0.20972902745151972,0.39027097254848025,0.35,0.047937249,0.256042993,0.443957007,0.05,0.066477003,-0.080294926,0.180294926
mmlu_miscellaneous,0.23371647509578544,0.015133383278988846,0.2040550438689673,0.2633779063226036,0.22860791826309068,0.015016884698539892,0.1991748242539525,0.25804101227222886,-0.005108557,0.021319618090341597,-0.046895008,0.036677895
mmlu_moral_disputes,0.24855491329479767,0.023267528432100174,0.20295055756788133,0.294159269,0.2398843930635838,0.022989592543123567,0.1948247916790616,0.284943994,-0.00867052,0.032709314,-0.072780776,0.055439736
mmlu_moral_scenarios,0.2435754189944134,0.014355911964767865,0.21543783154346838,0.2717130064453584,0.27262569832402234,0.014893391735249607,0.24343465052293312,0.30181674612511156,0.029050279329608936,0.020685873,-0.011494031,0.06959459
mmlu_nutrition,0.18627450980392157,0.022292858,0.14258050756616816,0.22996851204167498,0.21568627450980393,0.023550831,0.16952664505989357,0.2618459039597143,0.029411765,0.032428586,-0.034148264,0.092971793
mmlu_other,0.2349533311876408,0.007581205,0.22009416939307758,0.24981249298220404,0.2481493401995494,0.007737508,0.23298382467131684,0.26331485572778196,0.013196009011908594,0.010832529624319671,-0.008035749,0.034427767
mmlu_philosophy,0.1864951768488746,0.02212244,0.1431351948948123,0.2298551588029369,0.19292604501607716,0.022411516780911366,0.1489994721254909,0.23685261790666343,0.006430868,0.031490926,-0.055291347,0.068153083
mmlu_prehistory,0.2222222222222222,0.023132376234543325,0.1768827648025173,0.2675616796419271,0.24382716049382716,0.023891879541959607,0.19699907659158633,0.290655244,0.021604938,0.033255507,-0.043575855,0.086785732
mmlu_professional_accounting,0.23049645390070922,0.025123739226872405,0.18125392501603932,0.2797389827853791,0.24822695035460993,0.025770015644290392,0.19771771969180074,0.2987361810174191,0.017730496453900707,0.035990221,-0.052810336,0.088271329
mmlu_professional_law,0.24511082138200782,0.010986307870045505,0.22357765795671863,0.266643985,0.258148631,0.011176923719313394,0.23624186054013271,0.2800554015198412,0.013037809647979154,0.015672350954556057,-0.017679998,0.043755617518909024
mmlu_professional_medicine,0.18382352941176472,0.023529242,0.13770621472878622,0.22994084409474322,0.2426470588235294,0.026040662474201275,0.19160736037409493,0.2936867572729639,0.058823529,0.035096173,-0.009964969,0.12761202795169554
mmlu_professional_psychology,0.2549019607843137,0.017630827375148383,0.22034553912902288,0.28945838243960453,0.23039215686274508,0.017035229,0.19700310751699837,0.2637812062084918,-0.024509804,0.024516221360684046,-0.072561598,0.023541989945372106
mmlu_public_relations,0.21818181818181817,0.039559329,0.14064553409061986,0.2957181022730165,0.21818181818181817,0.039559329,0.14064553409061986,0.2957181022730165,0,0.055945339049890776,-0.109652865,0.10965286453778592
mmlu_security_studies,0.18775510204081633,0.025000256,0.13875460020330574,0.23675560387832692,0.2,0.025607375986579153,0.14980954306630487,0.2501904569336951,0.012244897959183682,0.035787575,-0.057898749,0.082388544
mmlu_social_sciences,0.2183945401364966,0.007445847,0.2038006802032445,0.2329884000697487,0.21969450763730908,0.007470982,0.20505138345211038,0.23433763182250777,0.001299968,0.010547805653112299,-0.019373732,0.021973666580912595
mmlu_sociology,0.24378109452736318,0.030360490154014652,0.18427453382549447,0.3032876552292319,0.23383084577114427,0.029929415,0.1751691915707814,0.2924924999715071,-0.009950249,0.042632491,-0.093509931,0.073609433
mmlu_stem,0.21281319378369806,0.007285264,0.19853407687262148,0.22709231069477465,0.21725340945131622,0.007345801,0.20285563983419688,0.23165117906843555,0.004440216,0.010345813519447118,-0.015837579,0.024718010165734505
mmlu_us_foreign_policy,0.27,0.044619604,0.1825455755056591,0.35745442449434095,0.28,0.045126085985421276,0.19155287146857433,0.3684471285314257,0.010000000000000009,0.063460797,-0.114383162,0.13438316167830322
mmlu_virology,0.28313253012048195,0.035072954,0.2143895396656198,0.3518755205753441,0.2710843373493976,0.034605799,0.2032569711613582,0.33891170353743694,-0.012048193,0.049271426343746365,-0.108620188,0.084523803
mmlu_world_religions,0.3157894736842105,0.035650797,0.24591391213832758,0.38566503523009343,0.2807017543859649,0.034462962,0.21315434853103177,0.34824916,-0.035087719,0.049585028662304596,-0.132274375,0.062098937
